streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Semperstraße	Gottfried Semper	männlich	Architekt	Point(13.74589 51.03372)	01069
Semperstraße	Gottfried Semper	männlich	Hochschullehrer	Point(13.74589 51.03372)	01069
Semperstraße	Gottfried Semper	männlich	Kunsthistoriker	Point(13.74589 51.03372)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Agent	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Geograph	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Kriegsfreiwilliger	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Botaniker	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Reiseschriftsteller	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Militärarzt	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Forschungsreisender	Point(13.73829 51.03203)	01069
Rohlfsstraße	Gerhard Rohlfs	männlich	Fremdenlegionär	Point(13.73829 51.03203)	01069
Mörikestraße	Eduard Mörike	männlich	Schriftsteller	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Dichter	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Übersetzer	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Erzähler	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Pfarrer	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Hochschullehrer	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	Zeichner	Point(13.68472 51.0567)	01157
Mörikestraße	Eduard Mörike	männlich	evangelischer Pfarrer	Point(13.68472 51.0567)	01157
Rabenerstraße	Gottlieb Wilhelm Rabener	männlich	Schriftsteller	Point(13.7393 51.03544)	01069
Rabenerstraße	Gottlieb Wilhelm Rabener	männlich	Dramatiker	Point(13.7393 51.03544)	01069
Rabenerstraße	Gottlieb Wilhelm Rabener	männlich	Dichterjurist	Point(13.7393 51.03544)	01069
Hölderlinstraße	Friedrich Hölderlin	männlich	Schriftsteller	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Dichter	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Bibliothekar	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Übersetzer	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Hofmeister	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Philosoph	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Romancier	Point(13.68792 51.05225)	01157
Hölderlinstraße	Friedrich Hölderlin	männlich	Librettist	Point(13.68792 51.05225)	01157
Gutzkowstraße	Karl Gutzkow	männlich	Schriftsteller	Point(13.74035 51.03404)	01069
Gutzkowstraße	Karl Gutzkow	männlich	Dramatiker	Point(13.74035 51.03404)	01069
Gutzkowstraße	Karl Gutzkow	männlich	Journalist	Point(13.74035 51.03404)	01069
Gutzkowstraße	Karl Gutzkow	männlich	Literaturkritiker	Point(13.74035 51.03404)	01069
Gutzkowstraße	Karl Gutzkow	männlich	Romancier	Point(13.74035 51.03404)	01069
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Drehbuchautor	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Schriftsteller	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Dichter	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Dramatiker	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Übersetzer	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Journalist	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Philosoph	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Librettist	Point(13.77238 51.00889)	01219
Ingeborg-Bachmann-Straße	Ingeborg Bachmann	weiblich	Essayist	Point(13.77238 51.00889)	01219
Lahmannring	Heinrich Lahmann	männlich	Arzt	Point(13.81757 51.06394)	01324
Heinrich-Greif-Straße	Heinrich Greif	männlich	Schauspieler	Point(13.74249 51.02694)	01217
Heinrich-Greif-Straße	Heinrich Greif	männlich	Schriftsteller	Point(13.74249 51.02694)	01217
Heinrich-Greif-Straße	Heinrich Greif	männlich	Bühnenschauspieler	Point(13.74249 51.02694)	01217
Karl-Laux-Straße	Karl Laux	männlich	Schriftsteller	Point(13.77461 51.01163)	01219
Karl-Laux-Straße	Karl Laux	männlich	Politiker	Point(13.77461 51.01163)	01219
Karl-Laux-Straße	Karl Laux	männlich	Musikkritiker	Point(13.77461 51.01163)	01219
Karl-Laux-Straße	Karl Laux	männlich	Hochschullehrer	Point(13.77461 51.01163)	01219
Karl-Laux-Straße	Karl Laux	männlich	Musikwissenschaftler	Point(13.77461 51.01163)	01219
Wielandstraße	Christoph Martin Wieland	männlich	Schriftsteller	Point(13.72478 51.04178)	01069
Wielandstraße	Christoph Martin Wieland	männlich	Dichter	Point(13.72478 51.04178)	01069
Wielandstraße	Christoph Martin Wieland	männlich	Übersetzer	Point(13.72478 51.04178)	01069
Wielandstraße	Christoph Martin Wieland	männlich	Dichterjurist	Point(13.72478 51.04178)	01069
Wielandstraße	Christoph Martin Wieland	männlich	Hochschullehrer	Point(13.72478 51.04178)	01069
Klopstockstraße	Friedrich Gottlieb Klopstock	männlich	Schriftsteller	Point(13.69 51.05076)	01157
Klopstockstraße	Friedrich Gottlieb Klopstock	männlich	Dichter	Point(13.69 51.05076)	01157
Klopstockstraße	Friedrich Gottlieb Klopstock	männlich	Dramatiker	Point(13.69 51.05076)	01157
Klopstockstraße	Friedrich Gottlieb Klopstock	männlich	Hauslehrer	Point(13.69 51.05076)	01157
Klopstockstraße	Friedrich Gottlieb Klopstock	männlich	Linguist	Point(13.69 51.05076)	01157
Schillingstraße	Johannes Schilling	männlich	Lehrer	Point(13.70173 51.04245)	01159
Schillingstraße	Johannes Schilling	männlich	Bildhauer	Point(13.70173 51.04245)	01159
Schillingstraße	Johannes Schilling	männlich	Hochschullehrer	Point(13.70173 51.04245)	01159
Hantzschstraße	Adolf Hantzsch	männlich	Historiker	Point(13.71295 51.02021)	01187
Hantzschstraße	Adolf Hantzsch	männlich	Pädagoge	Point(13.71295 51.02021)	01187
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Illustrator	Point(13.73863 51.03461)	01069
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Maler	Point(13.73863 51.03461)	01069
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Hochschullehrer	Point(13.73863 51.03461)	01069
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Grafiker	Point(13.73863 51.03461)	01069
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	bildender Künstler	Point(13.73863 51.03461)	01069
Schnorrstraße	Julius Schnorr von Carolsfeld	männlich	Zeichner	Point(13.73863 51.03461)	01069
Paul-Büttner-Straße	Paul Büttner	männlich	Komponist	Point(13.68994 51.00941)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Dirigent	Point(13.68994 51.00941)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Chorleiter	Point(13.68994 51.00941)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Musikkritiker	Point(13.68994 51.00941)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Musikwissenschaftler	Point(13.68994 51.00941)	01189
Paul-Büttner-Straße	Paul Büttner	männlich	Oboist	Point(13.68994 51.00941)	01189
Oskar-Pletsch-Straße	Oscar Pletsch	männlich	Illustrator	Point(13.82227 51.06042)	01324
Oskar-Pletsch-Straße	Oscar Pletsch	männlich	Maler	Point(13.82227 51.06042)	01324
Henriette-Heber-Straße	Henriette Heber	weiblich	Rekrutierer	Point(13.71869 51.04117)	01069
Hermann-Prell-Straße	Hermann Prell	männlich	Maler	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Maler	Point(13.8136 51.06274)	01324
Hermann-Prell-Straße	Hermann Prell	männlich	Bildhauer	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Bildhauer	Point(13.8136 51.06274)	01324
Hermann-Prell-Straße	Hermann Prell	männlich	Hochschullehrer	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Hochschullehrer	Point(13.8136 51.06274)	01324
Hermann-Prell-Straße	Hermann Prell	männlich	Kunsthistoriker	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Kunsthistoriker	Point(13.8136 51.06274)	01324
Hermann-Prell-Straße	Hermann Prell	männlich	Kunstlehrer	Point(13.8136 51.06274)	01326
Hermann-Prell-Straße	Hermann Prell	männlich	Kunstlehrer	Point(13.8136 51.06274)	01324
Kurt-Liebmann-Straße	Kurt Liebmann	männlich	Schriftsteller	Point(13.76996 51.00897)	01219
Kurt-Liebmann-Straße	Kurt Liebmann	männlich	Hochschullehrer	Point(13.76996 51.00897)	01219
Marianne-Bruns-Straße	Marianne Bruns	weiblich	Schriftsteller	Point(13.77151 51.00874)	01219
Marianne-Bruns-Straße	Marianne Bruns	weiblich	Dichter	Point(13.77151 51.00874)	01219
Küntzelmannstraße	Ludwig Küntzelmann	männlich	Industrieller	Point(13.81633 51.0628)	01324
Martin-Raschke-Straße	Martin Raschke	männlich	Schriftsteller	Point(13.77071 51.00882)	01219
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Illustrator	Point(13.68803 51.01163)	01189
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Maler	Point(13.68803 51.01163)	01189
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Ethnologe	Point(13.68803 51.01163)	01189
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Hochschullehrer	Point(13.68803 51.01163)	01189
Oskar-Seyffert-Straße	Oskar Seyffert	männlich	Volkskundler	Point(13.68803 51.01163)	01189
Wilhelm-Franke-Straße	Wilhelm Franke	männlich	Politiker	Point(13.76972 51.01265)	01219
Hermann-Seidel-Straße	Hermann Seidel	männlich	Gärtner	Point(13.83377 51.02705)	01279
Hermann-Seidel-Straße	Hermann Seidel	männlich	Handelsgärtner	Point(13.83377 51.02705)	01279
Gröbelstraße	Christian Ernst August Gröbel	männlich	Lehrer	Point(13.70227 51.04308)	01159
Gröbelstraße	Christian Ernst August Gröbel	männlich	Klassischer Philologe	Point(13.70227 51.04308)	01159
