streetLabel	personLabel	genderLabel	coordinate	postalCode
Stauffenbergallee	Claus Schenk Graf von Stauffenberg	männlich	Point(13.757764 51.075897)	01099
Dr.-Friedrich-Wolf-Straße	Friedrich Wolf	männlich	Point(13.744612 51.066839)	01097
Erna-Berger-Straße	Erna Berger	weiblich	Point(13.744051 51.065513)	01097
Louisenstraße	Maria Luisa von Bourbon-Parma	weiblich	Point(13.753354 51.066481)	01099
Katharinenstraße	Katharina von Mecklenburg	weiblich	Point(13.748672 51.066395)	01099
Dürerstraße	Albrecht Dürer	männlich	Point(13.76578 51.05145)	01069
Dürerstraße	Albrecht Dürer	männlich	Point(13.76578 51.05145)	01307
Dürerstraße	Albrecht Dürer	männlich	Point(13.76578 51.05145)	01309
Timaeusstraße	August Friedrich Timaeus	männlich	Point(13.752364 51.069442)	01099
Rudolf-Leonhard-Straße	Rudolf Leonhard	männlich	Point(13.748866 51.073919)	01097
Johann-Meyer-Straße	Johann Meyer	männlich	Point(13.745289 51.074789)	01097
Conradstraße	Konrad I.	männlich	Point(13.740902 51.071708)	01097
Fritz-Reuter-Straße	Fritz Reuter	männlich	Point(13.739759 51.07382)	01097
Gutschmidstraße	Christian Gotthelf von Gutschmid	männlich	Point(13.74379 51.073839)	01097
Ottostraße	Otto	männlich	Point(13.740875 51.070631)	01097
Fritz-Hoffmann-Straße	Fritz Hoffmann	männlich	Point(13.7401 51.069162)	01097
Lessingstraße	Gotthold Ephraim Lessing	männlich	Point(13.756161 51.061855)	01099
Lessingstraße	Erzherzog Karl Ludwig	männlich	Point(13.756161 51.061855)	01099
Melanchthonstraße	Philipp Melanchthon	männlich	Point(13.754449 51.061071)	01099
Tieckstraße	Ludwig Tieck	männlich	Point(13.753174 51.061783)	01099
Martin-Luther-Straße	Martin Luther	männlich	Point(13.755905 51.064501)	01099
Martin-Luther-Platz	Martin Luther	männlich	Point(13.756704 51.064252)	01099
Wigardstraße	Hans Georg von Arnim-Boitzenburg	männlich	Point(13.750011 51.057939)	01097
Wigardstraße	Franz Jacob Wigard	männlich	Point(13.750011 51.057939)	01097
Wilhelm-Buck-Straße	Wilhelm Buck	männlich	Point(13.748117 51.058334)	01097
Wilhelm-Buck-Straße	Ernst Adolph von Craushaar	männlich	Point(13.748117 51.058334)	01097
Erich-Ponto-Straße	Erich Ponto	männlich	Point(13.747683 51.058996)	01097
Paul-Schwarze-Straße	Paul Schwarze	männlich	Point(13.746996 51.060325)	01097
Georgenstraße	Georg der Bärtige	männlich	Point(13.748277 51.062028)	01097
Hans-Oster-Straße	Hans Oster	männlich	Point(13.75675 51.07444)	01099
Andersenstraße	Hans Christian Andersen	männlich	Point(13.683082 51.083939)	01139
Andreas-Hofer-Straße	Andreas Hofer	männlich	Point(13.858313 51.003149)	01259
Angelikastraße	Angelika Kauffmann	weiblich	Point(13.78327 51.06811)	01099
Anna-Angermann-Straße	Anna Elisabeth Angermann	weiblich	Point(13.82048 51.04793)	01326
Anne-Frank-Straße	Anne Frank	weiblich	Point(13.69093 51.099937)	01445
Anton-Günther-Weg	Anton Günther	männlich	Point(13.8711 51.06484)	01328
Anton-Weck-Straße	Anton Weck	männlich	Point(13.70194 51.04094)	01159
Antonin-Dvorak-Straße	Antonín Dvořák	männlich	Point(13.80651 51.00142)	01257
Anzengruberweg	Ludwig Anzengruber	männlich	Point(13.83419 51.05298)	01326
Arltstraße	Max Ludwig Arlt	männlich	Point(13.71293 51.02093)	01187
Arno-Schellenberg-Straße	Arno Schellenberg	männlich	Point(13.788264 50.990453)	01239
Arthur-Schloßmann-Weg	Arthur Schloßmann	männlich	Point(13.75396 51.01673)	01217
Arthur-Weineck-Straße	Leonhard von Blumenthal	männlich	Point(13.67681 51.05151)	01157
Arthur-Weineck-Straße	Arthur Weineck	männlich	Point(13.67681 51.05151)	01157
August-Bebel-Straße	August Bebel	männlich	Point(13.75402 51.03052)	01219
August-Böckstiegel-Straße	Peter August Böckstiegel	männlich	Point(13.87257 51.00752)	01326
August-Röckel-Straße	August Röckel	männlich	Point(13.85137 51.008995)	01259
August-Wagner-Straße	Karl August Wagner	männlich	Point(13.79814 51.14362)	01108
Auguste-Lazar-Straße	Auguste Lazar	weiblich	Point(13.73353 51.02016)	01217
Baluschekstraße	Hans Baluschek	männlich	Point(13.70366 51.0455)	01159
Baluschekstraße	Germania	weiblich	Point(13.70366 51.0455)	01159
Barkhausenstraße	Heinrich Barkhausen	männlich	Point(13.733053 51.027199)	01069
Barlachstraße	Gebhard Leberecht von Blücher	männlich	Point(13.756016 51.02807)	01219
Barlachstraße	Ernst Barlach	männlich	Point(13.756016 51.02807)	01219
Bayrische Straße	Otto von Bismarck	männlich	Point(13.72899 51.040428)	01069
Bedrich-Smetana-Straße	Bedřich Smetana	männlich	Point(13.818752 50.995041)	01259
Behringstraße	Emil von Behring	männlich	Point(13.714162 51.052394)	01067
Behringstraße	Emil von Behring	männlich	Point(13.714162 51.052394)	01159
Moritzgasse	Moritz von Sachsen	männlich	Point(13.7409 51.050631)	01067
Akademiestraße	August von Sachsen	männlich	Point(13.746482 51.05145)	01067
Annenstraße	Anna von Dänemark (1532–1585)	weiblich	Point(13.727659 51.048657)	01067
Weinligstraße	Albert Christian Weinlig	männlich	Point(13.729774 51.046902)	01067
Ehrlichstraße	Johann Georg Ehrlich	männlich	Point(13.722982 51.051769)	01067
Alfred-Althus-Straße	Alfred Althus	männlich	Point(13.724301 51.051562)	01067
Ermischstraße	Hubert Georg Ermisch	männlich	Point(13.726685 51.051651)	01067
Sidonienstraße	Prinzessin Sidonie von Sachsen	weiblich	Point(13.737436 51.040393)	01069
Ferdinandplatz	Ferdinand IV.	männlich	Point(13.738948 51.046245)	01069
Ferdinandstraße	Ferdinand IV.	männlich	Point(13.737718 51.045499)	01069
Hans-Dankner-Straße	Hans Dankner	männlich	Point(13.739737 51.04241)	01069
Struvestraße	Friedrich Adolph August Struve	männlich	Point(13.739955 51.041512)	01069
Walpurgisstraße	Maria Antonia Walpurgis von Bayern	weiblich	Point(13.740353 51.042949)	01069
Lennéplatz	Peter Joseph Lenné	männlich	Point(13.747393 51.038035)	01069
Gellertstraße	Christian Fürchtegott Gellert	männlich	Point(13.745597 51.037885)	01069
Mary-Wigman-Straße	Mary Wigman	weiblich	Point(13.73971 51.04009)	01069
Dore-Hoyer-Straße	Dore Hoyer	weiblich	Point(13.741124 51.040039)	01069
Gret-Palucca-Straße	Johann Wolfgang von Goethe	männlich	Point(13.741804 51.038937)	01069
Gret-Palucca-Straße	Gret Palucca	weiblich	Point(13.741804 51.038937)	01069
Blüherstraße	Bernhard Blüher	männlich	Point(13.748208 51.043908)	01069
Zinzendorfstraße	Nikolaus Ludwig von Zinzendorf	männlich	Point(13.744049 51.044599)	01069
Lingnerallee	Karl August Lingner	männlich	Point(13.748391 51.044816)	01069
Franklinstraße	Benjamin Franklin	männlich	Point(13.742952 51.034471)	01069
Lingnerplatz	Karl August Lingner	männlich	Point(13.747596 51.043835)	01069
Helmut-Schön-Allee	Helmut Schön	männlich	Point(13.749612 51.043106)	01069
Gerhart-Hauptmann-Straße	Gerhart Hauptmann	männlich	Point(13.749334 51.035945)	01219
Mozartstraße	Wolfgang Amadeus Mozart	männlich	Point(13.751744 51.035923)	01219
Richard-Wagner-Straße	Richard Wagner	männlich	Point(13.753803 51.034764)	01219
Beethovenstraße	Ludwig van Beethoven	männlich	Point(13.75621 51.034031)	01219
Herderstraße	Johann Gottfried Herder	männlich	Point(13.760409 51.032807)	01219
Voßstraße	Johann Heinrich Voß	männlich	Point(13.764443 51.031399)	01219
Leon-Pohle-Straße	Leon Pohle	männlich	Point(13.766774 51.030561)	01219
Oskarstraße	Oskar II.	männlich	Point(13.761564 51.031545)	01219
Franz-Liszt-Straße	Franz Liszt	männlich	Point(13.756872 51.031502)	01219
Schlömilchstraße	Oskar Schlömilch	männlich	Point(13.817224 51.034588)	01279
Bockemühlstraße	Alfred Bockemühl	männlich	Point(13.819343 51.03427)	01279
Rittershausstraße	Trajan Rittershaus	männlich	Point(13.82033 51.033406)	01279
Theodor-Friedrich-Weg	Theodor Friedrich	männlich	Point(13.822415 51.033153)	01279
Bellingrathstraße	Ewald Bellingrath	männlich	Point(13.824523 51.033144)	01279
Calvinstraße	Johannes Calvin	männlich	Point(13.787009 51.034475)	01277
Beilstraße	Eva Rosine Beil	weiblich	Point(13.779899 51.03247)	01277
Friedrich-Bouché-Weg	Friedrich Bouché	männlich	Point(13.7662 51.03989)	01219
Herkulesallee	Herakles	männlich	Point(13.763524 51.039355)	01219
Lewickistraße	Leonidas Lewicki	männlich	Point(13.820299 51.029603)	01279
Nagelstraße	August Nagel	männlich	Point(13.818114 51.02896)	01279
Herbert-Wehner-Platz	Herbert Wehner	männlich	Point(13.736208 51.049097)	01067
Toeplerstraße	August Toepler	männlich	Point(13.82163 51.029214)	01279
Schulze-Delitzsch-Straße	Hermann Schulze-Delitzsch	männlich	Point(13.81817 51.02951)	01279
Stephanstraße	Heinrich von Stephan	männlich	Point(13.71507 51.09362)	01129
Lichtenbergweg	Georg Christoph Lichtenberg	männlich	Point(13.710436 51.090962)	01129
Böttgerstraße	Johann Friedrich Böttger	männlich	Point(13.713196 51.09259)	01129
Burgsdorffstraße	Curt Ludwig Franz von Burgsdorff	männlich	Point(13.716534 51.093667)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Point(13.710944 51.091806)	01129
Halleystraße	Edmond Halley	männlich	Point(13.708405 51.092663)	01129
Dopplerstraße	Christian Doppler	männlich	Point(13.70739 51.093187)	01129
Fraunhoferstraße	Joseph von Fraunhofer	männlich	Point(13.705467 51.092649)	01129
Abbestraße	Ernst Abbe	männlich	Point(13.706615 51.093409)	01129
Carl-Zeiß-Straße	Carl Zeiß	männlich	Point(13.706913 51.094479)	01129
Benzstraße	Carl Benz	männlich	Point(13.706121 51.092892)	01129
Brehmweg	Christian Ludwig Brehm	männlich	Point(13.706437 51.092652)	01129
Steinheilstraße	Carl August von Steinheil	männlich	Point(13.708594 51.093035)	01129
Galileistraße	Galileo Galilei	männlich	Point(13.709214 51.097461)	01129
Eulerstraße	Leonhard Euler	männlich	Point(13.70501 51.096573)	01129
Maria-Kirch-Straße	Maria Margaretha Kirch	weiblich	Point(13.70354 51.096141)	01129
Morseweg	Samuel F. B. Morse	männlich	Point(13.701969 51.094579)	01129
Kleestraße	Julius Ludwig Klee	männlich	Point(13.702142 51.092148)	01139
Richard-Rösch-Straße	Richard Rösch	männlich	Point(13.703141 51.091946)	01129
Seumestraße	Johann Gottfried Seume	männlich	Point(13.727713 51.087946)	01129
Rückertstraße	Friedrich Rückert	männlich	Point(13.726057 51.089126)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Point(13.727215 51.087356)	01129
Kleiststraße	Heinrich von Kleist	männlich	Point(13.727374 51.086368)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Point(13.729981 51.089055)	01129
Dorothea-Erxleben-Straße	Dorothea Christiane Erxleben	weiblich	Point(13.72151 51.094884)	01129
Bolivarstraße	Simón Bolívar	männlich	Point(13.722351 51.09412)	01129
Virchowstraße	Rudolf Virchow	männlich	Point(13.722003 51.094413)	01129
Albert-Hensel-Straße	Albert Hensel	männlich	Point(13.729658 51.094058)	01129
Meinholdstraße	Carl Christian Meinhold	männlich	Point(13.733626 51.099016)	01129
Fiedlerstraße	Alfred Fiedler	männlich	Point(13.778421 51.054022)	01307
